radian measurement is represented as rad
	rad 	|	cos	|	sin	|	tan
	720	|	1.0	|	0.0	|	0.0
	735	|	0.966	|	0.259	|	0.268
	750	|	0.866	|	0.5	|	0.577
	765	|	0.707	|	0.707	|	1.0
	780	|	0.5	|	0.866	|	1.732
	795	|	0.259	|	0.966	|	3.732
	810	|	0.0	|	1.0	|	 UN 
	825	|	-0.259	|	0.966	|	-3.732
	840	|	-0.5	|	0.866	|	-1.732
	855	|	-0.707	|	0.707	|	-1.0
	870	|	-0.866	|	0.5	|	-0.577
	885	|	-0.966	|	0.259	|	-0.268
	900	|	-1.0	|	0.0	|	0.0
	915	|	-0.966	|	-0.259	|	0.268
	930	|	-0.866	|	-0.5	|	0.577
	945	|	-0.707	|	-0.707	|	1.0
	960	|	-0.5	|	-0.866	|	1.732
	975	|	-0.259	|	-0.966	|	3.732
	990	|	0.0	|	-1.0	|	 UN 
	1005	|	0.259	|	-0.966	|	-3.732
	1020	|	0.5	|	-0.866	|	-1.732
	1035	|	0.707	|	-0.707	|	-1.0
	1050	|	0.866	|	-0.5	|	-0.577
	1065	|	0.966	|	-0.259	|	-0.268
	1080	|	1.0	|	0.0	|	0.0
	1095	|	0.966	|	0.259	|	0.268
	1110	|	0.866	|	0.5	|	0.577
	1125	|	0.707	|	0.707	|	1.0
	1140	|	0.5	|	0.866	|	1.732
	1155	|	0.259	|	0.966	|	3.732
	1170	|	0.0	|	1.0	|	 UN 
	1185	|	-0.259	|	0.966	|	-3.732
	1200	|	-0.5	|	0.866	|	-1.732
	1215	|	-0.707	|	0.707	|	-1.0
	1230	|	-0.866	|	0.5	|	-0.577
	1245	|	-0.966	|	0.259	|	-0.268
	1260	|	-1.0	|	0.0	|	0.0
	1275	|	-0.966	|	-0.259	|	0.268
	1290	|	-0.866	|	-0.5	|	0.577
	1305	|	-0.707	|	-0.707	|	1.0
	1320	|	-0.5	|	-0.866	|	1.732
	1335	|	-0.259	|	-0.966	|	3.732
	1350	|	0.0	|	-1.0	|	 UN 
	1365	|	0.259	|	-0.966	|	-3.732
	1380	|	0.5	|	-0.866	|	-1.732
	1395	|	0.707	|	-0.707	|	-1.0
	1410	|	0.866	|	-0.5	|	-0.577
	1425	|	0.966	|	-0.259	|	-0.268
	1440	|	1.0	|	0.0	|	0.0
	1455	|	0.966	|	0.259	|	0.268
	1470	|	0.866	|	0.5	|	0.577
	1485	|	0.707	|	0.707	|	1.0
	1500	|	0.5	|	0.866	|	1.732
	1515	|	0.259	|	0.966	|	3.732
	1530	|	0.0	|	1.0	|	 UN 
	1545	|	-0.259	|	0.966	|	-3.732
	1560	|	-0.5	|	0.866	|	-1.732
	1575	|	-0.707	|	0.707	|	-1.0
	1590	|	-0.866	|	0.5	|	-0.577
	1605	|	-0.966	|	0.259	|	-0.268
	1620	|	-1.0	|	0.0	|	0.0
	1635	|	-0.966	|	-0.259	|	0.268
	1650	|	-0.866	|	-0.5	|	0.577
	1665	|	-0.707	|	-0.707	|	1.0
	1680	|	-0.5	|	-0.866	|	1.732
	1695	|	-0.259	|	-0.966	|	3.732
	1710	|	0.0	|	-1.0	|	 UN 
	1725	|	0.259	|	-0.966	|	-3.732
	1740	|	0.5	|	-0.866	|	-1.732
	1755	|	0.707	|	-0.707	|	-1.0
	1770	|	0.866	|	-0.5	|	-0.577
	1785	|	0.966	|	-0.259	|	-0.268
	1800	|	1.0	|	0.0	|	0.0
	1815	|	0.966	|	0.259	|	0.268
	1830	|	0.866	|	0.5	|	0.577
	1845	|	0.707	|	0.707	|	1.0
	1860	|	0.5	|	0.866	|	1.732
	1875	|	0.259	|	0.966	|	3.732
	1890	|	0.0	|	1.0	|	 UN 
	1905	|	-0.259	|	0.966	|	-3.732
	1920	|	-0.5	|	0.866	|	-1.732
	1935	|	-0.707	|	0.707	|	-1.0
	1950	|	-0.866	|	0.5	|	-0.577
	1965	|	-0.966	|	0.259	|	-0.268
	1980	|	-1.0	|	0.0	|	0.0
	1995	|	-0.966	|	-0.259	|	0.268
	2010	|	-0.866	|	-0.5	|	0.577
	2025	|	-0.707	|	-0.707	|	1.0
	2040	|	-0.5	|	-0.866	|	1.732
	2055	|	-0.259	|	-0.966	|	3.732
	2070	|	0.0	|	-1.0	|	 UN 
	2085	|	0.259	|	-0.966	|	-3.732
	2100	|	0.5	|	-0.866	|	-1.732
	2115	|	0.707	|	-0.707	|	-1.0
	2130	|	0.866	|	-0.5	|	-0.577
	2145	|	0.966	|	-0.259	|	-0.268
	2160	|	1.0	|	0.0	|	0.0
	2175	|	0.966	|	0.259	|	0.268
	2190	|	0.866	|	0.5	|	0.577
	2205	|	0.707	|	0.707	|	1.0
	2220	|	0.5	|	0.866	|	1.732
	2235	|	0.259	|	0.966	|	3.732
	2250	|	0.0	|	1.0	|	 UN 
	2265	|	-0.259	|	0.966	|	-3.732
	2280	|	-0.5	|	0.866	|	-1.732
	2295	|	-0.707	|	0.707	|	-1.0
	2310	|	-0.866	|	0.5	|	-0.577
	2325	|	-0.966	|	0.259	|	-0.268
	2340	|	-1.0	|	0.0	|	0.0
	2355	|	-0.966	|	-0.259	|	0.268
	2370	|	-0.866	|	-0.5	|	0.577
	2385	|	-0.707	|	-0.707	|	1.0
	2400	|	-0.5	|	-0.866	|	1.732
	2415	|	-0.259	|	-0.966	|	3.732
	2430	|	0.0	|	-1.0	|	 UN 
	2445	|	0.259	|	-0.966	|	-3.732
	2460	|	0.5	|	-0.866	|	-1.732
	2475	|	0.707	|	-0.707	|	-1.0
	2490	|	0.866	|	-0.5	|	-0.577
	2505	|	0.966	|	-0.259	|	-0.268
	2520	|	1.0	|	0.0	|	0.0
	2535	|	0.966	|	0.259	|	0.268
	2550	|	0.866	|	0.5	|	0.577
	2565	|	0.707	|	0.707	|	1.0
	2580	|	0.5	|	0.866	|	1.732
	2595	|	0.259	|	0.966	|	3.732
	2610	|	0.0	|	1.0	|	 UN 
	2625	|	-0.259	|	0.966	|	-3.732
	2640	|	-0.5	|	0.866	|	-1.732
	2655	|	-0.707	|	0.707	|	-1.0
	2670	|	-0.866	|	0.5	|	-0.577
	2685	|	-0.966	|	0.259	|	-0.268
	2700	|	-1.0	|	0.0	|	0.0
	2715	|	-0.966	|	-0.259	|	0.268
	2730	|	-0.866	|	-0.5	|	0.577
	2745	|	-0.707	|	-0.707	|	1.0
	2760	|	-0.5	|	-0.866	|	1.732
	2775	|	-0.259	|	-0.966	|	3.732
	2790	|	0.0	|	-1.0	|	 UN 
	2805	|	0.259	|	-0.966	|	-3.732
	2820	|	0.5	|	-0.866	|	-1.732
	2835	|	0.707	|	-0.707	|	-1.0
	2850	|	0.866	|	-0.5	|	-0.577
	2865	|	0.966	|	-0.259	|	-0.268
	2880	|	1.0	|	0.0	|	0.0
	2895	|	0.966	|	0.259	|	0.268
	2910	|	0.866	|	0.5	|	0.577
	2925	|	0.707	|	0.707	|	1.0
	2940	|	0.5	|	0.866	|	1.732
	2955	|	0.259	|	0.966	|	3.732
	2970	|	0.0	|	1.0	|	 UN 
	2985	|	-0.259	|	0.966	|	-3.732
	3000	|	-0.5	|	0.866	|	-1.732
	3015	|	-0.707	|	0.707	|	-1.0
	3030	|	-0.866	|	0.5	|	-0.577
	3045	|	-0.966	|	0.259	|	-0.268
	3060	|	-1.0	|	0.0	|	0.0
	3075	|	-0.966	|	-0.259	|	0.268
	3090	|	-0.866	|	-0.5	|	0.577
	3105	|	-0.707	|	-0.707	|	1.0
	3120	|	-0.5	|	-0.866	|	1.732
	3135	|	-0.259	|	-0.966	|	3.732
	3150	|	0.0	|	-1.0	|	 UN 
	3165	|	0.259	|	-0.966	|	-3.732
	3180	|	0.5	|	-0.866	|	-1.732
	3195	|	0.707	|	-0.707	|	-1.0
	3210	|	0.866	|	-0.5	|	-0.577
	3225	|	0.966	|	-0.259	|	-0.268
	3240	|	1.0	|	0.0	|	0.0
	3255	|	0.966	|	0.259	|	0.268
	3270	|	0.866	|	0.5	|	0.577
	3285	|	0.707	|	0.707	|	1.0
	3300	|	0.5	|	0.866	|	1.732
	3315	|	0.259	|	0.966	|	3.732
	3330	|	0.0	|	1.0	|	 UN 
	3345	|	-0.259	|	0.966	|	-3.732
	3360	|	-0.5	|	0.866	|	-1.732
	3375	|	-0.707	|	0.707	|	-1.0
	3390	|	-0.866	|	0.5	|	-0.577
	3405	|	-0.966	|	0.259	|	-0.268
	3420	|	-1.0	|	0.0	|	0.0
	3435	|	-0.966	|	-0.259	|	0.268
	3450	|	-0.866	|	-0.5	|	0.577
	3465	|	-0.707	|	-0.707	|	1.0
	3480	|	-0.5	|	-0.866	|	1.732
	3495	|	-0.259	|	-0.966	|	3.732
	3510	|	0.0	|	-1.0	|	 UN 
	3525	|	0.259	|	-0.966	|	-3.732
	3540	|	0.5	|	-0.866	|	-1.732
	3555	|	0.707	|	-0.707	|	-1.0
	3570	|	0.866	|	-0.5	|	-0.577
	3585	|	0.966	|	-0.259	|	-0.268
	3600	|	1.0	|	0.0	|	0.0
	3615	|	0.966	|	0.259	|	0.268
	3630	|	0.866	|	0.5	|	0.577
	3645	|	0.707	|	0.707	|	1.0
	3660	|	0.5	|	0.866	|	1.732
	3675	|	0.259	|	0.966	|	3.732
	3690	|	0.0	|	1.0	|	 UN 
	3705	|	-0.259	|	0.966	|	-3.732
	3720	|	-0.5	|	0.866	|	-1.732
	3735	|	-0.707	|	0.707	|	-1.0
	3750	|	-0.866	|	0.5	|	-0.577
	3765	|	-0.966	|	0.259	|	-0.268
	3780	|	-1.0	|	0.0	|	0.0
	3795	|	-0.966	|	-0.259	|	0.268
	3810	|	-0.866	|	-0.5	|	0.577
	3825	|	-0.707	|	-0.707	|	1.0
	3840	|	-0.5	|	-0.866	|	1.732
	3855	|	-0.259	|	-0.966	|	3.732
	3870	|	0.0	|	-1.0	|	 UN 
	3885	|	0.259	|	-0.966	|	-3.732
	3900	|	0.5	|	-0.866	|	-1.732
	3915	|	0.707	|	-0.707	|	-1.0
	3930	|	0.866	|	-0.5	|	-0.577
	3945	|	0.966	|	-0.259	|	-0.268
	3960	|	1.0	|	0.0	|	0.0
	3975	|	0.966	|	0.259	|	0.268
	3990	|	0.866	|	0.5	|	0.577
	4005	|	0.707	|	0.707	|	1.0
	4020	|	0.5	|	0.866	|	1.732
	4035	|	0.259	|	0.966	|	3.732
	4050	|	0.0	|	1.0	|	 UN 
	4065	|	-0.259	|	0.966	|	-3.732
	4080	|	-0.5	|	0.866	|	-1.732
	4095	|	-0.707	|	0.707	|	-1.0
	4110	|	-0.866	|	0.5	|	-0.577
	4125	|	-0.966	|	0.259	|	-0.268
	4140	|	-1.0	|	0.0	|	0.0
	4155	|	-0.966	|	-0.259	|	0.268
	4170	|	-0.866	|	-0.5	|	0.577
	4185	|	-0.707	|	-0.707	|	1.0
	4200	|	-0.5	|	-0.866	|	1.732
	4215	|	-0.259	|	-0.966	|	3.732
	4230	|	0.0	|	-1.0	|	 UN 
	4245	|	0.259	|	-0.966	|	-3.732
	4260	|	0.5	|	-0.866	|	-1.732
	4275	|	0.707	|	-0.707	|	-1.0
	4290	|	0.866	|	-0.5	|	-0.577
	4305	|	0.966	|	-0.259	|	-0.268
	4320	|	1.0	|	0.0	|	0.0
	4335	|	0.966	|	0.259	|	0.268
	4350	|	0.866	|	0.5	|	0.577
	4365	|	0.707	|	0.707	|	1.0
	4380	|	0.5	|	0.866	|	1.732
	4395	|	0.259	|	0.966	|	3.732
	4410	|	0.0	|	1.0	|	 UN 
	4425	|	-0.259	|	0.966	|	-3.732
	4440	|	-0.5	|	0.866	|	-1.732
	4455	|	-0.707	|	0.707	|	-1.0
	4470	|	-0.866	|	0.5	|	-0.577
	4485	|	-0.966	|	0.259	|	-0.268
	4500	|	-1.0	|	0.0	|	0.0
	4515	|	-0.966	|	-0.259	|	0.268
	4530	|	-0.866	|	-0.5	|	0.577
	4545	|	-0.707	|	-0.707	|	1.0
	4560	|	-0.5	|	-0.866	|	1.732
	4575	|	-0.259	|	-0.966	|	3.732
	4590	|	0.0	|	-1.0	|	 UN 
	4605	|	0.259	|	-0.966	|	-3.732
	4620	|	0.5	|	-0.866	|	-1.732
	4635	|	0.707	|	-0.707	|	-1.0
	4650	|	0.866	|	-0.5	|	-0.577
	4665	|	0.966	|	-0.259	|	-0.268
	4680	|	1.0	|	0.0	|	0.0
	4695	|	0.966	|	0.259	|	0.268
	4710	|	0.866	|	0.5	|	0.577
	4725	|	0.707	|	0.707	|	1.0
	4740	|	0.5	|	0.866	|	1.732
	4755	|	0.259	|	0.966	|	3.732
	4770	|	0.0	|	1.0	|	 UN 
	4785	|	-0.259	|	0.966	|	-3.732
	4800	|	-0.5	|	0.866	|	-1.732
	4815	|	-0.707	|	0.707	|	-1.0
	4830	|	-0.866	|	0.5	|	-0.577
	4845	|	-0.966	|	0.259	|	-0.268
	4860	|	-1.0	|	0.0	|	0.0
	4875	|	-0.966	|	-0.259	|	0.268
	4890	|	-0.866	|	-0.5	|	0.577
	4905	|	-0.707	|	-0.707	|	1.0
	4920	|	-0.5	|	-0.866	|	1.732
	4935	|	-0.259	|	-0.966	|	3.732
	4950	|	0.0	|	-1.0	|	 UN 
	4965	|	0.259	|	-0.966	|	-3.732
	4980	|	0.5	|	-0.866	|	-1.732
	4995	|	0.707	|	-0.707	|	-1.0
	5010	|	0.866	|	-0.5	|	-0.577
	5025	|	0.966	|	-0.259	|	-0.268
	5040	|	1.0	|	0.0	|	0.0
	5055	|	0.966	|	0.259	|	0.268
	5070	|	0.866	|	0.5	|	0.577
	5085	|	0.707	|	0.707	|	1.0
	5100	|	0.5	|	0.866	|	1.732
	5115	|	0.259	|	0.966	|	3.732
	5130	|	0.0	|	1.0	|	 UN 
	5145	|	-0.259	|	0.966	|	-3.732
	5160	|	-0.5	|	0.866	|	-1.732
	5175	|	-0.707	|	0.707	|	-1.0
	5190	|	-0.866	|	0.5	|	-0.577
	5205	|	-0.966	|	0.259	|	-0.268
	5220	|	-1.0	|	0.0	|	0.0
	5235	|	-0.966	|	-0.259	|	0.268
	5250	|	-0.866	|	-0.5	|	0.577
	5265	|	-0.707	|	-0.707	|	1.0
	5280	|	-0.5	|	-0.866	|	1.732
	5295	|	-0.259	|	-0.966	|	3.732
	5310	|	0.0	|	-1.0	|	 UN 
	5325	|	0.259	|	-0.966	|	-3.732
	5340	|	0.5	|	-0.866	|	-1.732
	5355	|	0.707	|	-0.707	|	-1.0
	5370	|	0.866	|	-0.5	|	-0.577
	5385	|	0.966	|	-0.259	|	-0.268
	5400	|	1.0	|	0.0	|	0.0
	5415	|	0.966	|	0.259	|	0.268
	5430	|	0.866	|	0.5	|	0.577
	5445	|	0.707	|	0.707	|	1.0
	5460	|	0.5	|	0.866	|	1.732
	5475	|	0.259	|	0.966	|	3.732
	5490	|	0.0	|	1.0	|	 UN 
	5505	|	-0.259	|	0.966	|	-3.732
	5520	|	-0.5	|	0.866	|	-1.732
	5535	|	-0.707	|	0.707	|	-1.0
	5550	|	-0.866	|	0.5	|	-0.577
	5565	|	-0.966	|	0.259	|	-0.268
	5580	|	-1.0	|	0.0	|	0.0
	5595	|	-0.966	|	-0.259	|	0.268
	5610	|	-0.866	|	-0.5	|	0.577
	5625	|	-0.707	|	-0.707	|	1.0
	5640	|	-0.5	|	-0.866	|	1.732
	5655	|	-0.259	|	-0.966	|	3.732
	5670	|	0.0	|	-1.0	|	 UN 
	5685	|	0.259	|	-0.966	|	-3.732
	5700	|	0.5	|	-0.866	|	-1.732
	5715	|	0.707	|	-0.707	|	-1.0
	5730	|	0.866	|	-0.5	|	-0.577
	5745	|	0.966	|	-0.259	|	-0.268
	5760	|	1.0	|	0.0	|	0.0
	5775	|	0.966	|	0.259	|	0.268
	5790	|	0.866	|	0.5	|	0.577
	5805	|	0.707	|	0.707	|	1.0
	5820	|	0.5	|	0.866	|	1.732
	5835	|	0.259	|	0.966	|	3.732
	5850	|	0.0	|	1.0	|	 UN 
	5865	|	-0.259	|	0.966	|	-3.732
	5880	|	-0.5	|	0.866	|	-1.732
	5895	|	-0.707	|	0.707	|	-1.0
	5910	|	-0.866	|	0.5	|	-0.577
	5925	|	-0.966	|	0.259	|	-0.268
	5940	|	-1.0	|	0.0	|	0.0
	5955	|	-0.966	|	-0.259	|	0.268
	5970	|	-0.866	|	-0.5	|	0.577
	5985	|	-0.707	|	-0.707	|	1.0
	6000	|	-0.5	|	-0.866	|	1.732
	6015	|	-0.259	|	-0.966	|	3.732
	6030	|	0.0	|	-1.0	|	 UN 
	6045	|	0.259	|	-0.966	|	-3.732
	6060	|	0.5	|	-0.866	|	-1.732
	6075	|	0.707	|	-0.707	|	-1.0
	6090	|	0.866	|	-0.5	|	-0.577
	6105	|	0.966	|	-0.259	|	-0.268
	6120	|	1.0	|	0.0	|	0.0
	6135	|	0.966	|	0.259	|	0.268
	6150	|	0.866	|	0.5	|	0.577
	6165	|	0.707	|	0.707	|	1.0
	6180	|	0.5	|	0.866	|	1.732
	6195	|	0.259	|	0.966	|	3.732
	6210	|	0.0	|	1.0	|	 UN 
	6225	|	-0.259	|	0.966	|	-3.732
	6240	|	-0.5	|	0.866	|	-1.732
	6255	|	-0.707	|	0.707	|	-1.0
	6270	|	-0.866	|	0.5	|	-0.577
	6285	|	-0.966	|	0.259	|	-0.268
	6300	|	-1.0	|	0.0	|	0.0
	6315	|	-0.966	|	-0.259	|	0.268
	6330	|	-0.866	|	-0.5	|	0.577
	6345	|	-0.707	|	-0.707	|	1.0
	6360	|	-0.5	|	-0.866	|	1.732
	6375	|	-0.259	|	-0.966	|	3.732
	6390	|	0.0	|	-1.0	|	 UN 
	6405	|	0.259	|	-0.966	|	-3.732
	6420	|	0.5	|	-0.866	|	-1.732
	6435	|	0.707	|	-0.707	|	-1.0
	6450	|	0.866	|	-0.5	|	-0.577
	6465	|	0.966	|	-0.259	|	-0.268
	6480	|	1.0	|	0.0	|	0.0
	6495	|	0.966	|	0.259	|	0.268
	6510	|	0.866	|	0.5	|	0.577
	6525	|	0.707	|	0.707	|	1.0
	6540	|	0.5	|	0.866	|	1.732
	6555	|	0.259	|	0.966	|	3.732
	6570	|	0.0	|	1.0	|	 UN 
	6585	|	-0.259	|	0.966	|	-3.732
	6600	|	-0.5	|	0.866	|	-1.732
	6615	|	-0.707	|	0.707	|	-1.0
	6630	|	-0.866	|	0.5	|	-0.577
	6645	|	-0.966	|	0.259	|	-0.268
	6660	|	-1.0	|	0.0	|	0.0
	6675	|	-0.966	|	-0.259	|	0.268
	6690	|	-0.866	|	-0.5	|	0.577
	6705	|	-0.707	|	-0.707	|	1.0
	6720	|	-0.5	|	-0.866	|	1.732
	6735	|	-0.259	|	-0.966	|	3.732
	6750	|	0.0	|	-1.0	|	 UN 
	6765	|	0.259	|	-0.966	|	-3.732
	6780	|	0.5	|	-0.866	|	-1.732
	6795	|	0.707	|	-0.707	|	-1.0
	6810	|	0.866	|	-0.5	|	-0.577
	6825	|	0.966	|	-0.259	|	-0.268
	6840	|	1.0	|	0.0	|	0.0
	6855	|	0.966	|	0.259	|	0.268
	6870	|	0.866	|	0.5	|	0.577
	6885	|	0.707	|	0.707	|	1.0
	6900	|	0.5	|	0.866	|	1.732
	6915	|	0.259	|	0.966	|	3.732
	6930	|	0.0	|	1.0	|	 UN 
	6945	|	-0.259	|	0.966	|	-3.732
	6960	|	-0.5	|	0.866	|	-1.732
	6975	|	-0.707	|	0.707	|	-1.0
	6990	|	-0.866	|	0.5	|	-0.577
	7005	|	-0.966	|	0.259	|	-0.268
	7020	|	-1.0	|	0.0	|	0.0
	7035	|	-0.966	|	-0.259	|	0.268
	7050	|	-0.866	|	-0.5	|	0.577
	7065	|	-0.707	|	-0.707	|	1.0
	7080	|	-0.5	|	-0.866	|	1.732
	7095	|	-0.259	|	-0.966	|	3.732
	7110	|	0.0	|	-1.0	|	 UN 
	7125	|	0.259	|	-0.966	|	-3.732
	7140	|	0.5	|	-0.866	|	-1.732
	7155	|	0.707	|	-0.707	|	-1.0
	7170	|	0.866	|	-0.5	|	-0.577
	7185	|	0.966	|	-0.259	|	-0.268
	7200	|	1.0	|	0.0	|	0.0
	7215	|	0.966	|	0.259	|	0.268
	7230	|	0.866	|	0.5	|	0.577
	7245	|	0.707	|	0.707	|	1.0
	7260	|	0.5	|	0.866	|	1.732
	7275	|	0.259	|	0.966	|	3.732
	7290	|	0.0	|	1.0	|	 UN 
	7305	|	-0.259	|	0.966	|	-3.732
	7320	|	-0.5	|	0.866	|	-1.732
	7335	|	-0.707	|	0.707	|	-1.0
	7350	|	-0.866	|	0.5	|	-0.577
	7365	|	-0.966	|	0.259	|	-0.268
	7380	|	-1.0	|	0.0	|	0.0
	7395	|	-0.966	|	-0.259	|	0.268
	7410	|	-0.866	|	-0.5	|	0.577
	7425	|	-0.707	|	-0.707	|	1.0
	7440	|	-0.5	|	-0.866	|	1.732
	7455	|	-0.259	|	-0.966	|	3.732
	7470	|	0.0	|	-1.0	|	 UN 
	7485	|	0.259	|	-0.966	|	-3.732
	7500	|	0.5	|	-0.866	|	-1.732
	7515	|	0.707	|	-0.707	|	-1.0
	7530	|	0.866	|	-0.5	|	-0.577
	7545	|	0.966	|	-0.259	|	-0.268
	7560	|	1.0	|	0.0	|	0.0
	7575	|	0.966	|	0.259	|	0.268
	7590	|	0.866	|	0.5	|	0.577
	7605	|	0.707	|	0.707	|	1.0
	7620	|	0.5	|	0.866	|	1.732
	7635	|	0.259	|	0.966	|	3.732
	7650	|	0.0	|	1.0	|	 UN 
	7665	|	-0.259	|	0.966	|	-3.732
	7680	|	-0.5	|	0.866	|	-1.732
	7695	|	-0.707	|	0.707	|	-1.0
	7710	|	-0.866	|	0.5	|	-0.577
	7725	|	-0.966	|	0.259	|	-0.268
	7740	|	-1.0	|	0.0	|	0.0
	7755	|	-0.966	|	-0.259	|	0.268
	7770	|	-0.866	|	-0.5	|	0.577
	7785	|	-0.707	|	-0.707	|	1.0
	7800	|	-0.5	|	-0.866	|	1.732
	7815	|	-0.259	|	-0.966	|	3.732
	7830	|	0.0	|	-1.0	|	 UN 
	7845	|	0.259	|	-0.966	|	-3.732
	7860	|	0.5	|	-0.866	|	-1.732
	7875	|	0.707	|	-0.707	|	-1.0
	7890	|	0.866	|	-0.5	|	-0.577
	7905	|	0.966	|	-0.259	|	-0.268
	7920	|	1.0	|	0.0	|	0.0
	7935	|	0.966	|	0.259	|	0.268
	7950	|	0.866	|	0.5	|	0.577
	7965	|	0.707	|	0.707	|	1.0
	7980	|	0.5	|	0.866	|	1.732
	7995	|	0.259	|	0.966	|	3.732
	8010	|	0.0	|	1.0	|	 UN 
	8025	|	-0.259	|	0.966	|	-3.732
	8040	|	-0.5	|	0.866	|	-1.732
	8055	|	-0.707	|	0.707	|	-1.0
	8070	|	-0.866	|	0.5	|	-0.577
	8085	|	-0.966	|	0.259	|	-0.268
	8100	|	-1.0	|	0.0	|	0.0
	8115	|	-0.966	|	-0.259	|	0.268
	8130	|	-0.866	|	-0.5	|	0.577
	8145	|	-0.707	|	-0.707	|	1.0
	8160	|	-0.5	|	-0.866	|	1.732
	8175	|	-0.259	|	-0.966	|	3.732
	8190	|	0.0	|	-1.0	|	 UN 
	8205	|	0.259	|	-0.966	|	-3.732
	8220	|	0.5	|	-0.866	|	-1.732
	8235	|	0.707	|	-0.707	|	-1.0
	8250	|	0.866	|	-0.5	|	-0.577
	8265	|	0.966	|	-0.259	|	-0.268
	8280	|	1.0	|	0.0	|	0.0
	8295	|	0.966	|	0.259	|	0.268
	8310	|	0.866	|	0.5	|	0.577
	8325	|	0.707	|	0.707	|	1.0
	8340	|	0.5	|	0.866	|	1.732
	8355	|	0.259	|	0.966	|	3.732
	8370	|	0.0	|	1.0	|	 UN 
	8385	|	-0.259	|	0.966	|	-3.732
	8400	|	-0.5	|	0.866	|	-1.732
	8415	|	-0.707	|	0.707	|	-1.0
	8430	|	-0.866	|	0.5	|	-0.577
	8445	|	-0.966	|	0.259	|	-0.268
	8460	|	-1.0	|	0.0	|	0.0
	8475	|	-0.966	|	-0.259	|	0.268
	8490	|	-0.866	|	-0.5	|	0.577
	8505	|	-0.707	|	-0.707	|	1.0
	8520	|	-0.5	|	-0.866	|	1.732
	8535	|	-0.259	|	-0.966	|	3.732
	8550	|	0.0	|	-1.0	|	 UN 
	8565	|	0.259	|	-0.966	|	-3.732
	8580	|	0.5	|	-0.866	|	-1.732
	8595	|	0.707	|	-0.707	|	-1.0
	8610	|	0.866	|	-0.5	|	-0.577
	8625	|	0.966	|	-0.259	|	-0.268
	8640	|	1.0	|	0.0	|	0.0
	8655	|	0.966	|	0.259	|	0.268
	8670	|	0.866	|	0.5	|	0.577
	8685	|	0.707	|	0.707	|	1.0
	8700	|	0.5	|	0.866	|	1.732
	8715	|	0.259	|	0.966	|	3.732
	8730	|	0.0	|	1.0	|	 UN 
	8745	|	-0.259	|	0.966	|	-3.732
	8760	|	-0.5	|	0.866	|	-1.732
	8775	|	-0.707	|	0.707	|	-1.0
	8790	|	-0.866	|	0.5	|	-0.577
	8805	|	-0.966	|	0.259	|	-0.268
	8820	|	-1.0	|	0.0	|	0.0
	8835	|	-0.966	|	-0.259	|	0.268
	8850	|	-0.866	|	-0.5	|	0.577
	8865	|	-0.707	|	-0.707	|	1.0
	8880	|	-0.5	|	-0.866	|	1.732
	8895	|	-0.259	|	-0.966	|	3.732
	8910	|	0.0	|	-1.0	|	 UN 
	8925	|	0.259	|	-0.966	|	-3.732
	8940	|	0.5	|	-0.866	|	-1.732
